baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C39D10.7	3883.92467452061	-6.04673670487652	0.305879291904842	-18.1337437730243	1.7259817927023e-73	8.00726103179413e-71
F22G12.1	1011.88413701703	6.51458590527866	0.335325212537336	17.9365752421882	6.11071141668597e-72	2.76576760388882e-69
TBH-1	1611.28726838334	-7.5400195854107	0.392591139840745	-17.9321917154485	6.61210443293539e-72	2.92144814195196e-69
EGG-3	1679.14234922537	-3.11334339612134	0.1493844049196	-17.4940844563251	1.58946177408462e-68	6.85945166085774e-66
C17H1.7	820.278271181113	6.8608643233399	0.365505765613688	17.4029110393373	7.84146858503837e-68	3.23364738961238e-65
F55B11.2	2739.81075016972	-6.48144411873973	0.343696819427233	-17.4032571168617	7.79422880701162e-68	3.23364738961238e-65
CLEC-88	3300.44012323452	-3.01209497766705	0.146147534126216	-17.1887606088349	3.22349759156434e-66	1.30040097405781e-63
MARC-3	1241.98251114321	-3.40824265106164	0.169312263293437	-17.1767986233893	3.96180076972274e-66	1.5642369549733e-63
B0513.4	849.139984639132	-5.12492326756721	0.271944950443074	-17.0068363469589	7.30789291455391e-65	2.82526185032035e-62
ZK813.1	4049.97381525129	-9.94920256171398	0.564515046546922	-16.7386194920999	6.85598397807268e-63	2.59645907512438e-60
MLC-7	939.224004106705	-3.61287475181286	0.186265262166677	-16.7120520251776	1.07086191650609e-62	3.97439691692071e-60
T01C3.3	2672.45368621636	-4.24941102217922	0.224451924798391	-16.7047398927278	1.21054710418731e-62	4.40472992400077e-60
T04G9.7	955.599850926067	-5.54017875622035	0.304307442954986	-16.5627850153041	1.29460368629064e-61	4.61999242432604e-59
TDC-1	1886.82047464488	-3.12458247906011	0.158944902874624	-16.5125300125565	2.98118727722601e-61	1.04380928874496e-58
GNA-2	1368.54839633928	-2.62818814141112	0.129468382007011	-16.4378986469134	1.02408694886713e-60	3.51925583520876e-58
F14H3.6	1922.16607314078	-4.40605069614603	0.238041548202751	-16.4091131385982	1.64592138570927e-60	5.55333875538309e-58
W02D9.7	1415.20069338661	-8.07886883848367	0.462667699160878	-16.3808038733397	2.6225409088477e-60	8.69044493669406e-58
COL-85	228.011515918275	7.14277922950593	0.405650250070134	16.3756320336483	2.85525924220924e-60	9.29562206275031e-58
COL-181	103785.695089344	-5.74575863444917	0.321220568997109	-16.3307058786026	5.96897201136217e-60	1.90976230370427e-57
CYB-2.2	2926.3103367937	-3.08083133877037	0.158545958686885	-16.2781275545931	1.41121284356779e-59	4.43862317594704e-57
CLEC-87	13557.6756760098	-3.85684401478646	0.206726896560314	-16.2380612810442	2.71365613452193e-59	8.39288614805392e-57
GLN-5	2637.59257394451	-4.05739456771192	0.220805458731795	-16.1109901364937	2.13576437012673e-58	6.49727531417077e-56
EEED8.3	996.743423339388	-3.47580785807981	0.184916642670161	-16.092698932393	2.87046517141727e-58	8.59148744935328e-56
EGG-1	5687.7957131823	-4.36742182361341	0.240368087906324	-16.0895810142676	3.01873313545013e-58	8.89184615786477e-56
W09C3.7	698.403026284688	-4.04546338193515	0.220452777672777	-16.0826432733715	3.37659075021551e-58	9.79053039871083e-56
PUF-11	4553.46827983086	-3.60946974030844	0.196876232792149	-15.7940331151666	3.4199681005873e-56	9.76374585270746e-54
Y18D10A.11	1800.95462486401	-3.1498885860384	0.168040088846435	-15.7693833907695	5.05407881059848e-56	1.4210384922466e-53
C03G6.5	408.923155321965	2.79110000066954	0.147348131817731	15.548890728412	1.61885426065235e-54	4.48374306192921e-52
TTR-34	743.698755794909	-3.5956840358108	0.19963412765488	-15.5067877029648	3.12107370714641e-54	8.51731835051705e-52
Y41G9A.5	585.898185431047	4.44167791832752	0.254330036691694	15.4982792028837	3.56307792575188e-54	9.58261406785183e-52
H02I12.5	1645.413987666	-4.42615135334663	0.25362832338945	-15.4799404927578	4.73911001216917e-54	1.25633806422605e-51
F35C11.5	1348.81073178552	-2.5889125953181	0.136009322856889	-15.3585985978041	3.10207839490761e-53	8.10778433440853e-51
MEX-6	2726.09905651234	-3.81978381854719	0.216713142093342	-15.3187932512062	5.7270922071473e-53	1.47607847344489e-50
K11D12.13	1060.9712867134	-7.07647320495925	0.429775123132199	-15.3021262771794	7.39989990404079e-53	1.8810951030039e-50
F07E5.9	452.619456746712	6.87917220566651	0.417885618251611	15.2653547455313	1.30118278148696e-52	3.26297957784507e-50
COL-184	57952.3227148142	-5.74338069903844	0.346774712974119	-15.1204240184311	1.18775339861025e-51	2.93881864240139e-49
PUF-5	7965.59732200919	-4.08126737473837	0.237092309757011	-15.1049495380458	1.50221361127866e-51	3.66797078743395e-49
C08E8.4	763.014454086679	4.96433995552433	0.295716158699878	15.0967061629364	1.70227016682465e-51	4.1024711020474e-49
SPE-15	1663.59679930109	-2.06482693076436	0.103741270339214	-15.0839383945047	2.06570445734827e-51	4.91452277115536e-49
ASM-3	1136.57234550567	-6.39110447771929	0.391607913732767	-15.0433744343057	3.81592263305853e-51	8.96355396223634e-49
FBXA-215	2269.11254194626	-2.52490506602916	0.135355984132708	-14.9598488681805	1.34330750823342e-50	3.11596967878594e-48
RNH-1.3	1041.94390995384	2.72701510782968	0.14915214574965	14.9311637230328	2.06628308758037e-50	4.73382904397888e-48
DDO-3	1042.48461605056	-4.62073996608879	0.276220050172015	-14.9183231395498	2.50489444458569e-50	5.66869831807032e-48
B0238.9	1108.41604410281	-2.35569369551866	0.125209786155377	-14.8206761827376	1.07694867803442e-49	2.40782368894996e-47
ZC308.4	905.733815626817	-3.36394619096283	0.195855223642754	-14.6227715436723	2.01046500205423e-48	4.44145226703814e-46
CYB-2.1	1889.04379250199	-3.41951847237264	0.200040967348991	-14.5946028509213	3.03977717684983e-48	6.63637000832968e-46
D1086.10	5071.77151649984	-4.91240105153738	0.302723244066792	-14.5756929407239	4.01032649582521e-48	8.65344520732889e-46
COL-119	92685.7699253211	-6.8671783917168	0.438150203900415	-14.5319535059807	7.6021134093988e-48	1.62020493433199e-45
Y62H9A.4	1984.74216289036	-7.35288878296999	0.471597414487738	-14.5312263647878	7.68324805848009e-48	1.62020493433199e-45
COL-106	51940.6477416895	-5.59866215440547	0.351702269972587	-14.4970976582064	1.26381694328023e-47	2.63512932769115e-45
EGG-2	2120.92163621983	-3.79651928683898	0.229264922948438	-14.3786465214322	7.04590200493301e-47	1.44097038960246e-44
F15D4.5	690.308968959149	3.15378670026493	0.184566991557078	14.3784469686403	7.06624483773366e-47	1.44097038960246e-44
R04D3.3	1438.193656342	-5.60465545772703	0.356203051777659	-14.3307459951616	1.40602121390689e-46	2.83603648548588e-44
NOS-2	1249.4580074695	-3.36608811581531	0.200069307085581	-14.325476294019	1.51684577978143e-46	3.02667818660258e-44
DY3.8	881.205095013943	-2.83082697959251	0.163614280538941	-14.2458651647939	4.75620889362045e-46	9.38946472754412e-44
DOD-21	1512.21424673626	8.78586255611281	0.583165548136412	14.208422604167	8.12347472112984e-46	1.58681389894744e-43
SDZ-27	824.798870247725	-3.69432785395581	0.224887320961516	-14.2041260498738	8.6373474538215e-46	1.66961725729756e-43
F25H5.8	892.034482348927	-4.24734228436419	0.267471378480507	-14.0102552491884	1.34919190520645e-44	2.58112929741402e-42
SPP-4	521.929236481263	-3.3442023407533	0.203190254134323	-13.9977301218054	1.60929004607054e-44	3.04730565152356e-42
F57C2.4	633.784135564845	-6.56435083305431	0.434897127653154	-13.9443340676438	3.40612344570398e-44	6.38458916989179e-42
SKPO-1	1862.41886571906	-5.24884375679138	0.343635768071819	-13.8194105445941	1.94657255600032e-43	3.61225469216979e-41
FBXA-158	277.831132453065	5.10074828638661	0.333261344585201	13.8052263220416	2.37026933679803e-43	4.35495921613476e-41
MESP-1	3079.57711257129	-3.48886279988216	0.216918402519659	-13.7787424449214	3.42180904334976e-43	6.22534415857269e-41
Y75B12B.1	2765.82901393657	-3.16957110757416	0.193911188737682	-13.7669781973514	4.02708220126094e-43	7.25539460279604e-41
Y41D4B.17	167.037066676886	4.78496901244252	0.311318863009963	13.7639234931466	4.20095173419712e-43	7.4958712818746e-41
OAC-14	994.079202586701	4.43590658831223	0.286637362585503	13.7313103665548	6.59302113463027e-43	1.15421408674843e-40
Y73B6BL.23	1098.53261771639	-1.84903041845731	0.0982436558811774	-13.7314761585106	6.57795023299217e-43	1.15421408674843e-40
COL-122	106524.974096783	-5.75406153079565	0.382972407596993	-13.719164688033	7.79583618942646e-43	1.35203114174941e-40
NEG-1	1787.66570648148	-2.72507571483772	0.163118493256384	-13.6408550031198	2.28861478211263e-42	3.93239115848742e-40
Y62H9A.3	1645.28063650551	-7.24289120633237	0.495989951441565	-13.5948141423724	4.2985122351197e-42	7.31811849056113e-40
PUF-3	5263.38004847624	-3.73077244052599	0.238018166302272	-13.5736380576223	5.74007405831509e-42	9.68350493637756e-40
F13G11.3	1427.61988327541	-6.32573648148321	0.432035742565748	-13.4843854512723	1.93269139428487e-41	3.23107695529228e-39
T20D4.12	799.957102252907	5.20660993185726	0.349337866062956	13.4729452174791	2.25680994743686e-41	3.73925198165944e-39
ZK813.2	1528.66586350562	-9.48092662452261	0.668959960455723	-13.4252080175388	4.30374177603507e-41	7.06765806529936e-39
FBXA-166	125.466026231934	5.34566309400486	0.36242225142677	13.3702140939985	9.02806213622152e-41	1.46959429001634e-38
CPG-2	25081.6123904523	-3.7885010179845	0.245998721867573	-13.3679597723876	9.30584547994192e-41	1.50163977888071e-38
F17E9.4	753.522548125052	-6.27952836474708	0.434936450317785	-13.2882133942195	2.70971128977798e-40	4.33483727624224e-38
VHA-18	1029.05808942133	-2.21865262408085	0.129348396805561	-13.2870036778605	2.75386772552897e-40	4.36782251133685e-38
F15B9.6	683.325441077091	4.65817905287765	0.314628783481194	13.2161431858513	7.08023772252477e-40	1.11345738488892e-37
INX-14	1449.66108150929	-2.02476628818717	0.116052786738598	-13.1385581599312	1.97962872669554e-39	3.08705632615874e-37
DELM-2	366.364780723459	5.81056264082922	0.404930966848818	13.1147357836229	2.71125484959305e-39	4.19272968699151e-37
GLD-1	8427.40400950186	-2.50383103508107	0.153595827598515	-13.046129353975	6.68588598410818e-39	1.0253717868355e-36
C28C12.4	460.552352946521	3.58723807865283	0.237610766071761	12.9928375287526	1.34351859504553e-38	2.04357988264426e-36
CLEC-91	2368.88030814236	-3.67057178731273	0.245302518368932	-12.9251497636246	3.24663837744495e-38	4.8982006805078e-36
NHR-76	467.864125625553	-3.40038182742409	0.225819952768891	-12.8437801525554	9.32095858393215e-38	1.39491151969378e-35
C04B4.2	710.148782517795	-3.91959060282031	0.266823559366844	-12.8159245418013	1.33537119198556e-37	1.98243865677408e-35
W05H9.1	6423.57712003413	2.57097878008357	0.16212217143001	12.77418604634	2.28525828678692e-37	3.3656776212623e-35
PAL-1	1150.06296421417	-2.3242935502801	0.142853419307488	-12.77038771017	2.39956229302547e-37	3.50619507650973e-35
NAS-20	304.024997013409	-5.54578819202649	0.39608114377251	-12.7392789870465	3.57685097130165e-37	5.185595583941e-35
ALX-1	3907.61843301179	1.18147886066893	0.053584896005997	12.7177415925685	4.71285335474071e-37	6.77956741890878e-35
F20C5.3	1007.37719488161	-2.20022262761663	0.133720442869462	-12.7147546862105	4.89643722904943e-37	6.98947581995925e-35
T20D4.10	827.092550295115	3.30730231270675	0.220862981174091	12.7106059049975	5.16328189992004e-37	7.31412383334475e-35
C44B7.5	1586.18714617935	-7.38904836069762	0.543434687809501	-12.6768653441433	7.94459799586858e-37	1.11687806825253e-34
PUF-6	1798.79667954513	-3.19913437062434	0.2136538622881	-12.6332112217317	1.38508215151798e-36	1.93255409667061e-34
TTR-42	403.70241737902	-7.26749199146533	0.539614070298765	-12.5413556909634	4.43345519784404e-36	6.13967373928297e-34
T23F2.2	350.793048131542	2.39512435467037	0.151472432781225	12.5113482359364	6.47163719450809e-36	8.89586454951753e-34
CHS-1	2660.18408974502	-2.71213744200188	0.17735671678841	-12.4728145742628	1.05048923286432e-35	1.43337710987229e-33
F33H12.7	492.771444064777	4.98943381401968	0.360973614455688	12.4370137711846	1.64541138718908e-35	2.22875176000494e-33
