baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ZK970.7	3526.11353748288	5.18927936579294	0.283051943160542	16.5668509936117	1.20998591925192e-61	3.55460863460234e-59
T06G6.4	299.996676755313	3.53303157007921	0.183102646247696	16.5646517526362	1.25504648243632e-61	3.63195466387429e-59
K07C5.4	8460.03106014493	-1.66057195842793	0.0703938029896116	-16.4868484033914	4.56128994639738e-61	1.30057133486322e-58
NAS-20	304.024997013409	-5.42424079544255	0.300252462592027	-16.4003344150201	1.90188234673616e-60	5.34428939432862e-58
HIS-3	667.415307932334	5.00045536265918	0.274935356436563	16.3691400807433	3.17670664767372e-60	8.79902359882081e-58
HIS-37	5291.82811923275	2.28852886835164	0.109283104611814	16.366014442074	3.34408700346658e-60	9.13218350848078e-58
EEED8.3	996.743423339388	-2.36250192842169	0.114195306224797	-16.3097940711792	8.40757041915185e-60	2.26408865079077e-57
T20D4.10	827.092550295115	3.26799553761131	0.17067175573468	16.218240245412	3.74779587796837e-59	9.95424853122313e-57
HSP-43	6791.23123056829	2.07165914655964	0.0973428926031783	16.1455973264177	1.21962095988088e-58	3.19557172853113e-56
OSM-6	178.305198928862	4.60841053854729	0.255349386443041	16.0893691415378	3.02908090367862e-58	7.83077995218997e-56
THN-1	1838.33974349355	5.23795279696323	0.294990096638921	16.0613961314188	4.75721771467928e-58	1.21365387197259e-55
KAP-1	223.594712277576	2.8777895801675	0.148273302470315	16.0365321372912	7.10104381634987e-58	1.7880797214962e-55
KARS-1	7710.17196593237	-1.65600563567396	0.0722946399237697	-15.9901984005024	1.49553956100306e-57	3.71756622413953e-55
B0507.10	1275.46585678263	4.77282437867517	0.267534484078846	15.9711163717344	2.03117676691095e-57	4.98512485235904e-55
Y18D10A.11	1800.95462486401	-2.49890595397061	0.125221286668368	-15.9629884594976	2.31381861434533e-57	5.60782863919269e-55
POS-1	6051.13261058839	-1.82079347602399	0.0829574476309979	-15.9213369473347	4.50643746291291e-57	1.07870760454838e-54
SRI-40	278.47858315074	-5.86672639436187	0.33764554701798	-15.8945570044082	6.9115312823832e-57	1.63424000041619e-54
F14H12.3	438.180498441514	2.16308501994604	0.105006449066206	15.8379321911693	1.7033047655574e-56	3.97896097583042e-54
CGH-1	18439.0509804164	-1.6902076676377	0.0756106571824061	-15.7412686516716	7.88468954431862e-56	1.81995530446183e-53
C42C1.8	1173.0369756249	-1.79727535440207	0.0824480245757337	-15.7344625426464	8.77990439999344e-56	2.00274784013497e-53
Y37D8A.19	2891.21000621508	-3.04965103253187	0.162446796231446	-15.695298963602	1.62873517854647e-55	3.67204027637646e-53
C08E8.4	763.014454086679	4.04072236449127	0.225687120414166	15.6886328204887	1.80910106003809e-55	4.03180005207798e-53
LIN-53	2534.64440599972	-4.41129476156451	0.250076036584534	-15.6404220691588	3.86160083950309e-55	8.50824757694606e-53
C08F11.11	6726.37113509408	-5.74824592426428	0.33566917552858	-15.6351738761828	4.19328704243956e-55	9.1352407265012e-53
PGL-2	761.463674327641	-2.04802242897295	0.0993370524304998	-15.5835349559623	9.41982699680807e-55	2.02934472934568e-52
CYN-1	2567.23940335616	-2.05430561308259	0.099807194573464	-15.5730818777651	1.10931031997951e-54	2.36356239495414e-52
C39D10.7	3883.92467452061	-4.08728828062979	0.230414836117703	-15.5688250855396	1.1856509787944e-54	2.49875943780919e-52
D1086.6	1422.46262171101	-3.16828774120444	0.171783873549814	-15.5328185706017	2.0803153994387e-54	4.33712207308784e-52
Y71H2AM.10	333.361162253819	2.21465354641293	0.110399900482609	15.5312961236141	2.13030140386665e-54	4.39408658718835e-52
ACDH-13	773.398844874041	-1.80017208708133	0.0837562520012533	-15.523284005854	2.41375049151637e-54	4.92633771368535e-52
DDO-3	1042.48461605056	-3.62677261418184	0.201588733624319	-15.5106516022314	2.93881322614873e-54	5.93548433768726e-52
Y6E2A.4	196.970601544362	4.80550799534519	0.277717953094251	15.5031676828037	3.30202852093195e-54	6.60031247343811e-52
HIS-28	545.70174524576	6.32006004822579	0.375751466104214	15.4891213295003	4.10867399844825e-54	8.12888573019521e-52
ARL-13	140.681145997086	4.19799639485692	0.239223346003255	15.4583424094678	6.62823088836333e-54	1.29812897671188e-51
CEY-2	19755.0834373043	-1.79552918708252	0.0840484629000639	-15.414073528304	1.31645270896854e-53	2.55247015741909e-51
C36B1.11	1382.24574074063	-1.80113843098695	0.0845502011152072	-15.3889454291662	1.94171090608413e-53	3.72750819386783e-51
DSB-1	862.363633529502	-2.12036237289844	0.105397686287654	-15.3737945297596	2.45367756042077e-53	4.6641523744116e-51
TTR-29	204.446790923572	3.24671102059571	0.178700063902017	15.3705094481766	2.58131420080088e-53	4.85913602323575e-51
F28B12.1	196.453503887864	3.49147806916352	0.195189690529141	15.3260044680326	5.12560254190616e-53	9.55579881586717e-51
BBS-5	268.144935617522	4.27094001378358	0.246223022504024	15.3151398087559	6.05814786597663e-53	1.11868027593734e-50
F08G2.5	1931.33513398108	4.85860135501985	0.285084841920981	15.2887867543234	9.08264443540701e-53	1.66135276375572e-50
F48C1.9	972.850728748761	9.46973981918759	0.588078234884849	15.2526301554825	1.58132799944653e-52	2.86545500759522e-50
SRG-31	936.079898576605	5.97752340439127	0.359155983999138	15.2510988217432	1.61885685074575e-52	2.90629772954717e-50
C01B10.8	1609.63005158085	-1.32521727266916	0.0541932222428025	-15.2273151238717	2.32963703932726e-52	4.14397546380883e-50
TTR-20	718.356495467288	3.46756973183691	0.195009208758246	15.2175876756457	2.70316066764733e-52	4.76468928954674e-50
ARRD-4	562.212105288629	5.55964929469069	0.334423839549575	15.1294516010144	1.03554746397964e-51	1.80884952964876e-49
W03F9.4	583.311063052074	5.70460868732714	0.344058543449176	15.1271020191828	1.07318337030835e-51	1.85785288990255e-49
NXF-2	597.848491897652	-1.97943749852543	0.0979875442594047	-15.0982199799689	1.66364095554731e-51	2.85454287496521e-49
R06C1.6	416.398766410643	2.33431665026394	0.122022381165403	15.0326246115252	4.48862745687767e-51	7.63421032994747e-49
MANS-4	567.920132049053	-2.01714104066085	0.100959790015942	-15.0271810234677	4.87306260741062e-51	8.2159835560943e-49
W03F9.1	1404.81191314529	-1.81462726149274	0.087521954423672	-15.0205427900862	5.38648225057793e-51	9.00331934107374e-49
TTH-1	2250.21978666608	2.33351283160491	0.122152192911472	15.0100688976883	6.30821478898603e-51	1.04538441490299e-48
C03G6.5	408.923155321965	2.20414468783151	0.113545070808983	15.0085307595465	6.45619854519319e-51	1.06084096265043e-48
F47B8.2	896.199525218068	3.12785159695674	0.175398917125649	14.9821426495709	9.60692044133248e-51	1.56528218854618e-48
HIS-27	1199.21035565091	5.81361927299251	0.354842306439282	14.974593436484	1.07623961643409e-50	1.73893416025338e-48
